Student_ID,Student_Name,Lesson_ID,Lesson_Name,Module_1_Score,Module_2_Score,Module_3_Score,Avg_Module_Score,Weak_Module_Count,Priority_Score,Followup_Quiz_Score,Improvement_Percentage,Lesson_Performance,Quiz_Difficulty,Actual_Lesson_End_Examination_Mark
ST001,Nimal Perera,L1,Information and Communication Technology,19.99,16.31,21.59,19.3,1,17,25.0,29.53,Good,Medium,89.53
ST001,Nimal Perera,L2,Fundamentals of a Computer System,14.28,12.57,17.35,14.73,3,33,16.79,13.99,Needs Improvement,Easy,66.44
ST002,Kasun Silva,L1,Information and Communication Technology,15.71,12.38,8.55,12.21,3,31,17.11,40.13,Needs Improvement,Medium,62.09
ST002,Kasun Silva,L2,Fundamentals of a Computer System,17.53,18.11,15.93,17.19,2,27,20.14,17.16,Good,Hard,76.23
ST003,Sahan Jayasuriya,L1,Information and Communication Technology,15.9,25.0,10.89,17.26,2,25,22.5,30.36,Good,Medium,85.9
ST003,Sahan Jayasuriya,L2,Fundamentals of a Computer System,13.6,22.65,20.49,18.91,1,13,21.45,13.43,Good,Medium,80.59
ST004,Dinesh Fernando,L1,Information and Communication Technology,18.84,7.2,13.69,13.24,2,22,16.63,25.6,Needs Improvement,Medium,66.91
ST004,Dinesh Fernando,L2,Fundamentals of a Computer System,18.69,16.42,17.8,17.64,2,22,25.0,41.72,Good,Hard,95.35
ST005,Chamara Wijesinghe,L1,Information and Communication Technology,11.96,20.61,15.63,16.07,2,29,18.04,12.26,Good,Hard,64.34
ST005,Chamara Wijesinghe,L2,Fundamentals of a Computer System,20.45,22.15,22.73,21.78,0,1,25.0,14.78,Excellent,Medium,90.87
ST006,Tharindu Gunawardena,L1,Information and Communication Technology,14.41,16.44,24.88,18.58,2,25,19.33,4.04,Good,Medium,76.03
ST006,Tharindu Gunawardena,L2,Fundamentals of a Computer System,19.19,11.81,18.7,16.57,1,13,20.29,22.45,Good,Medium,82.62
ST007,Sachintha Ranasinghe,L1,Information and Communication Technology,25.0,12.4,17.41,18.27,2,23,21.15,15.76,Good,Easy,70.59
ST007,Sachintha Ranasinghe,L2,Fundamentals of a Computer System,22.17,21.52,19.08,20.92,0,7,25.0,19.5,Excellent,Medium,100.0
ST008,Nuwan Bandara,L1,Information and Communication Technology,18.54,20.04,21.82,20.13,0,9,23.85,18.48,Excellent,Easy,78.91
ST008,Nuwan Bandara,L2,Fundamentals of a Computer System,17.08,21.81,18.16,19.02,1,17,21.4,12.51,Good,Easy,81.85
ST009,Kavindu Ekanayake,L1,Information and Communication Technology,16.43,9.68,20.18,15.43,2,27,18.95,22.81,Good,Easy,64.09
ST009,Kavindu Ekanayake,L2,Fundamentals of a Computer System,25.0,11.52,22.66,19.73,1,18,22.41,13.58,Good,Medium,83.73
ST010,Supun Herath,L1,Information and Communication Technology,14.23,24.02,18.93,19.06,1,11,18.71,-1.84,Good,Easy,69.55
ST010,Supun Herath,L2,Fundamentals of a Computer System,19.38,16.6,18.03,18.0,1,11,19.85,10.28,Good,Medium,71.41
ST011,Isuru Karunaratne,L1,Information and Communication Technology,22.57,20.76,22.16,21.83,0,8,23.01,5.41,Excellent,Medium,83.4
ST011,Isuru Karunaratne,L2,Fundamentals of a Computer System,18.87,19.56,21.17,19.87,0,9,20.89,5.13,Good,Easy,74.02
ST012,Malintha Samarasinghe,L1,Information and Communication Technology,24.83,21.37,19.04,21.75,0,3,24.02,10.44,Excellent,Medium,89.0
ST012,Malintha Samarasinghe,L2,Fundamentals of a Computer System,8.12,19.41,22.71,16.75,1,19,19.04,13.67,Good,Medium,73.71
ST013,Gayan Madushanka,L1,Information and Communication Technology,18.91,23.54,12.57,18.34,1,15,21.71,18.38,Good,Hard,72.27
ST013,Gayan Madushanka,L2,Fundamentals of a Computer System,22.76,23.5,15.53,20.6,1,13,23.03,11.8,Excellent,Hard,89.02
ST014,Pasindu Lakshan,L1,Information and Communication Technology,20.61,22.51,11.6,18.24,1,19,23.58,29.28,Good,Medium,94.78
ST014,Pasindu Lakshan,L2,Fundamentals of a Computer System,19.9,11.04,21.63,17.52,1,11,20.51,17.07,Good,Easy,73.72
ST015,Dilshan Peris,L1,Information and Communication Technology,23.37,13.33,15.16,17.29,2,23,22.5,30.13,Good,Medium,84.7
ST015,Dilshan Peris,L2,Fundamentals of a Computer System,12.01,16.94,20.65,16.53,2,28,21.95,32.79,Good,Medium,82.93
ST016,Janith Rodrigo,L1,Information and Communication Technology,16.94,25.0,21.5,21.15,1,13,22.44,6.1,Excellent,Medium,81.75
ST016,Janith Rodrigo,L2,Fundamentals of a Computer System,18.76,20.03,17.6,18.8,1,19,21.54,14.57,Good,Medium,80.64
ST017,Ravindu Senanayake,L1,Information and Communication Technology,19.35,17.25,18.13,18.24,1,17,20.29,11.24,Good,Medium,63.34
ST017,Ravindu Senanayake,L2,Fundamentals of a Computer System,16.93,22.48,17.66,19.02,2,23,20.25,6.47,Good,Medium,75.57
ST018,Ashen Weerasinghe,L1,Information and Communication Technology,22.23,17.26,22.49,20.66,1,16,25.0,21.01,Excellent,Medium,94.53
ST018,Ashen Weerasinghe,L2,Fundamentals of a Computer System,15.58,18.52,20.03,18.04,1,17,23.91,32.54,Good,Medium,86.55
ST019,Charith Wickramasinghe,L1,Information and Communication Technology,21.82,20.26,17.74,19.94,1,12,24.46,22.67,Good,Easy,85.85
ST019,Charith Wickramasinghe,L2,Fundamentals of a Computer System,18.33,25.0,11.53,18.29,1,16,20.46,11.86,Good,Easy,75.87
ST020,Lahiru Abeykoon,L1,Information and Communication Technology,16.11,22.44,19.26,19.27,1,15,20.11,4.36,Good,Medium,74.11
ST020,Lahiru Abeykoon,L2,Fundamentals of a Computer System,20.07,15.04,20.75,18.62,1,13,24.35,30.77,Good,Hard,92.06
ST021,Thilina Rathnayake,L1,Information and Communication Technology,9.9,17.93,16.35,14.73,3,37,19.43,31.91,Needs Improvement,Medium,81.08
ST021,Thilina Rathnayake,L2,Fundamentals of a Computer System,15.29,9.26,17.63,14.06,3,36,18.95,34.78,Needs Improvement,Medium,76.97
ST022,Yasiru Peiris,L1,Information and Communication Technology,25.0,22.16,12.92,20.03,1,13,22.06,10.13,Excellent,Medium,82.81
ST022,Yasiru Peiris,L2,Fundamentals of a Computer System,21.1,12.37,18.76,17.41,1,15,17.82,2.35,Good,Medium,66.5
ST023,Pramuditha Jayawardena,L1,Information and Communication Technology,24.53,9.85,17.24,17.21,2,23,20.47,18.94,Good,Medium,77.53
ST023,Pramuditha Jayawardena,L2,Fundamentals of a Computer System,21.64,15.99,19.24,18.96,1,14,18.17,-4.17,Good,Medium,74.55
ST024,Dinuka Hettiarachchi,L1,Information and Communication Technology,25.0,7.24,18.39,16.88,1,11,21.06,24.76,Good,Medium,74.05
ST024,Dinuka Hettiarachchi,L2,Fundamentals of a Computer System,14.53,14.27,13.93,14.24,3,33,14.15,-0.63,Needs Improvement,Medium,60.86
ST025,Akila Kumara,L1,Information and Communication Technology,24.22,12.09,14.05,16.79,2,27,18.14,8.04,Good,Easy,72.81
ST025,Akila Kumara,L2,Fundamentals of a Computer System,23.81,18.81,21.33,21.32,0,5,24.42,14.54,Excellent,Medium,90.62
ST026,Sandaru Pathirana,L1,Information and Communication Technology,25.0,25.0,16.54,22.18,1,11,25.0,12.71,Excellent,Medium,92.74
ST026,Sandaru Pathirana,L2,Fundamentals of a Computer System,17.19,15.91,23.4,18.83,2,27,21.01,11.58,Good,Hard,78.54
ST027,Vihanga De Silva,L1,Information and Communication Technology,23.22,17.11,21.73,20.69,1,11,23.07,11.5,Excellent,Easy,85.78
ST027,Vihanga De Silva,L2,Fundamentals of a Computer System,17.5,16.0,25.0,19.5,2,25,22.9,17.44,Good,Medium,79.26
ST028,Nethmina Gunasekara,L1,Information and Communication Technology,16.63,18.25,20.3,18.39,1,12,24.74,34.53,Good,Hard,93.61
ST028,Nethmina Gunasekara,L2,Fundamentals of a Computer System,19.98,17.28,19.24,18.83,1,18,20.89,10.94,Good,Easy,78.01
ST029,Pabasara Jayathilake,L1,Information and Communication Technology,22.62,14.61,16.34,17.86,2,23,23.58,32.03,Good,Medium,75.27
ST029,Pabasara Jayathilake,L2,Fundamentals of a Computer System,24.28,15.49,18.98,19.58,1,14,25.0,27.68,Good,Medium,93.85
ST030,Shehan Kulatunga,L1,Information and Communication Technology,17.56,19.01,21.76,19.44,1,16,21.64,11.32,Good,Medium,69.76
ST030,Shehan Kulatunga,L2,Fundamentals of a Computer System,20.4,16.16,20.14,18.9,1,13,21.95,16.14,Good,Medium,82.73
ST031,Anjana Dissanayake,L1,Information and Communication Technology,16.27,25.0,23.8,21.69,1,17,25.0,15.26,Excellent,Easy,89.45
